URL;NAME;ADDRESS;CITY;RATINGS;ABOUT;AVG RATINGS;SERVICES;ABOUT ROOMS
https://www.tripadvisor.it/Hotel_Review-g187874-d205808-Reviews-Palace_Hotel_Bari-Bari_Province_of_Bari_Puglia.html;Palace Hotel;Via Francesco Lombardi, 13;70122, Bari, ;1183;-;4;Ristorante Servizio in camera Colazione inclusa Bar/Lounge Internet ad alta velocità gratuito (WiFi) Accessibile in sedia a rotelle Animali domestici ammessi Centro congressi con accesso a Internet ;Aria condizionata Frigorifero in camera Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie Suite 
https://www.tripadvisor.it/Hotel_Review-g187874-d237464-Reviews-Hotel_Boston-Bari_Province_of_Bari_Puglia.html;Hotel Boston;Via Nicolo' Piccinni 155;70122, Bari, ;513;-;3.5;Internet ad alta velocità gratuito (WiFi) Servizio in camera Bar/Lounge Colazione inclusa Accessibile in sedia a rotelle Concierge Lavaggio a secco Personale multilingue ;Aria condizionata Minibar Camere con accesso per disabili Camere per famiglie 
https://www.tripadvisor.it/Hotel_Review-g187874-d3723945-Reviews-Palazzo_Calo-Bari_Province_of_Bari_Puglia.html;Palazzo Calò;Via Strada Lamberti, 8;70121, Bari, ;148;Certificato di Eccellenza;4.5;Internet ad alta velocità gratuito (WiFi) Hotel non fumatori Trasporti per l'aeroporto Wi-Fi pubblico ;Aria condizionata Frigorifero in camera Camere non fumatori 
https://www.tripadvisor.it/Hotel_Review-g187874-d735957-Reviews-Zodiacus-Bari_Province_of_Bari_Puglia.html;Zodiacus;Via Roberto da Bari 101;70122, Bari, ;134;-;4;Internet ad alta velocità gratuito (WiFi) Concierge Hotel non fumatori Personale multilingue Servizio lavanderia Wi-Fi pubblico ;Aria condizionata Frigorifero in camera Minibar Camere non fumatori Camere per famiglie Suite 
https://www.tripadvisor.it/Hotel_Review-g187874-d4893481-Reviews-Il_Trespolo_Degli_Angeli-Bari_Province_of_Bari_Puglia.html;Il Trespolo Degli Angeli;Piazzetta Sessantadue Marinai 15;70122, Bari, ;90;Certificato di Eccellenza;4.5;Internet ad alta velocità gratuito (WiFi) Colazione inclusa Hotel non fumatori Servizio lavanderia Wi-Fi pubblico ;Aria condizionata 
https://www.tripadvisor.it/Hotel_Review-g187874-d4161604-Reviews-Villa_Dafne_B_B-Bari_Province_of_Bari_Puglia.html;Villa Dafne B & B;Strada Sant'Anna 15;70126, Bari, ;68;Certificato di Eccellenza;4.5;Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Piscina Servizio in camera Animali domestici ammessi Colazione disponibile Hotel non fumatori Servizio lavanderia ;Aria condizionata Frigorifero in camera Minibar Camere non fumatori Camere per famiglie Camere per fumatori 
https://www.tripadvisor.it/Hotel_Review-g187874-d6586003-Reviews-Olive_Tree-Bari_Province_of_Bari_Puglia.html;Olive Tree;Via Scipione Crisanzio 90;70123, Bari, ;122;-;4.5;Internet ad alta velocità gratuito (WiFi) Colazione inclusa ;Camere non fumatori Cucinino 
https://www.tripadvisor.it/Hotel_Review-g187874-d2206642-Reviews-Vittoria_Parc_Hotel-Bari_Province_of_Bari_Puglia.html;Vittoria Parc Hotel;Via Nazionale N. 10/F;70128, Bari, ;306;-;4;Piscina Servizio in camera Parcheggio gratuito Ristorante Bar/Lounge Internet ad alta velocità gratuito (WiFi) Accessibile in sedia a rotelle Concierge ;Aria condizionata Frigorifero in camera Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie 
https://www.tripadvisor.it/Hotel_Review-g187874-d11796663-Reviews-B_B_Gatto_Bianco-Bari_Province_of_Bari_Puglia.html;B&B Gatto Bianco;Via Abate Giacinto Gimma 82;70122, Bari, ;77;Certificato di Eccellenza;4.5;Internet ad alta velocità gratuito (WiFi) Colazione inclusa Hotel non fumatori ;Aria condizionata Frigorifero in camera Camere non fumatori Camere per famiglie Suite 
https://www.tripadvisor.it/Hotel_Review-g187874-d6639103-Reviews-Seven_Maze_Charming_House-Bari_Province_of_Bari_Puglia.html;Seven Maze Charming House;S.S 100, Uscita MUNGIVACCA TARANTO N 13/B;70126, Bari, ;208;-;4;Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Piscina Servizio in camera Accessibile in sedia a rotelle Animali domestici ammessi Concierge Hotel non fumatori ;Aria condizionata Frigorifero in camera Minibar Camere con accesso per disabili Camere non fumatori 
https://www.tripadvisor.it/Hotel_Review-g187874-d5601862-Reviews-Bed_and_Breakfast_FLY-Bari_Province_of_Bari_Puglia.html;Bed and Breakfast FLY;Viale Gabriele d'Annunzio nø 15;70128, Bari, ;75;-;4.5;Servizio in camera Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Colazione inclusa Accessibile in sedia a rotelle Attivit… per bambini/famiglie Hotel non fumatori Servizio navetta ;Aria condizionata Minibar Cucinino 
https://www.tripadvisor.it/Hotel_Review-g187874-d4582968-Reviews-B_B_Dei_Meravigli-Bari_Province_of_Bari_Puglia.html;B&B Dei Meravigli;Strada Filioli 33;70122, Bari, ;76;-;4.5;Internet ad alta velocità gratuito (WiFi) Colazione inclusa ;Aria condizionata Frigorifero in camera Cucinino Suite 
https://www.tripadvisor.it/Hotel_Review-g2533537-d6351696-Reviews-La_Casa_Particular-Palese_Bari_Province_of_Bari_Puglia.html;La Casa Particular;Via Nazionale 9/B 3;70128 Palese, Bari, ;40;-;5;Piscina Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Colazione inclusa Animali domestici ammessi Hotel non fumatori Servizio navetta Trasporti per l'aeroporto ;Aria condizionata Frigorifero in camera 
